DISTRICTNAME,UNITNAME,Crime_No,Year,RI,Noofvehicle_involved,Accident_Classification,Accident_Spot,Accident_Location,Accident_SubLocation,Main_Cause,Hit_Run,Severity,Collision_Type,Junction_Control,Road_Character,Road_Type,Surface_Type,Surface_Condition,Road_Condition,Weather,Accident_Road,Landmark_first,Distance_LandMark_First,Latitude,Longitude
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near office complex,Human Error,No,Damage Only,Others,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,80FEET ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Residential area,Human Error,Yes,Simple Injury,Head on,Uncontrolled,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,1,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Circle,City/Town,Near Bus stop,Human Error,Not Applicable,Not Applicable,Overturning,Signal lights Automatic,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100  FEET RING ROAD KORAMANGALA,SONY WORLD JUNCTION,3KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Hospital,Human Error,No,Grievous Injury,Hit and Run,Controlled,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Sarjapura main road koramangala,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Not Applicable,Round about or Circle,City/Town,Open area,Human Error,Not Applicable,Grievous Injury,Others,Give way sign,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,B G ROAD,MICO BOSCH COMPANY,1KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Junction,City/Town,Open area,Human Error,Yes,Grievous Injury,Others,Controlled,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,80FEET ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Narrow road,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Hit pedestrian,Controlled,Not Applicable,City or Town Road,Bitumen(Tar),Wet,Not Applicable,Clear,BDA JUNCTION NEAR BY BUSSTOP,NANDINI HOTEL,50MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Head on,Uncontrolled,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,2ND CROSS KORAMANGALA,1,1,12.924586,77.632458
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Offset,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Others,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,SARJAPURA MAIN ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Hospital,Human Error,No,Damage Only,Side swipe,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,SARJAPURA MAIN ROAD,KORAMANGALA WATER TANK JUNCTION,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Junction,City/Town,Near Bus stop,Human Error,Not Applicable,Damage Only,Hit parked vehicle,Signal lights Automatic,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,SARJAPURA MAIN ROAD,TOWORDS SOUTH 2KM,2KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Rail Road Accidents,Other,City/Town,In bazaar,Human Error,No,Fatal,Hit pedestrian,Uncontrolled,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,60FEET ROAD KORAMANGALA,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,In bazaar,Human Error,Yes,Damage Only,Hit and Run,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,HOSURLASKAR ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Circle,City/Town,Near Bus stop,Human Error,Yes,Grievous Injury,Others,Controlled,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Sarjapura main road,ST johns hospital,2km,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near office complex,Human Error,No,Fatal,Head on,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,HOSURLASKAR ROAD,1,1,12.941109,77.608659
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Circle,City/Town,Near Bus stop,Human Error,No,Damage Only,Others,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100feet inner ring road,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Petrol Pump,Human Error,No,Grievous Injury,Right Turn Collision,Not at  Junction,Others,City or Town Road,Not Applicable,Others,Not Applicable,Clear,kormangala 80 feet road,near ngv,4 km,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Junction,City/Town,Near Hospital,Human Error,No,Grievous Injury,Others,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Sarjapura main road koramangala,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Rear end,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,Near Adugodi Tr PS Hosur Lashkar Main Road,a,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,Near office complex,Human Error,No,Grievous Injury,Hit pedestrian,Not Applicable,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,HOSURLASKAR ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Junction,City/Town,Open area,Human Error,Yes,Grievous Injury,Head on,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,Sarjapura main road koramangala,koramangala water tankjunction,2km,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Circle,City/Town,Near office complex,Human Error,No,Grievous Injury,Hit pedestrian,Uncontrolled,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,60FEETROAD KORAMANGALA,NEAR ACCURA HOSPITAL,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Narrow road,City/Town,Open area,Human Error,No,Damage Only,Not Applicable,Controlled,Others,City or Town Road,Bitumen(Tar),Wet,Not Applicable,Clear,KORAMANGALA 100FEET ROAD NEAR EJIPURA SIGNAL,MILITARY CAMPUS,100MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,Open area,Human Error,No,Grievous Injury,Others,Give way sign,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,BDA COMPEX ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Narrow road,City/Town,Near Bus stop,Human Error,No,Simple Injury,Hit bicyclist,Not at  Junction,Others,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Clear,HOSUR LASKAR ROAD,ADUGODI POLICE STATION,50MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Curves,City/Town,Near office complex,Human Error,Yes,Grievous Injury,Hit parked vehicle,Uncontrolled,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Y D MUTT ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,T Junction,City/Town,Open area,Human Error,Yes,Damage Only,Run Off Road,Uncontrolled,Curve,City or Town Road,Bitumen(Tar),Dry,Pot holed,Fine,Y D MUTT ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Circle,City/Town,Near Bus stop,Human Error,Yes,Grievous Injury,Hit and Run,Controlled,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100  FEET RING ROAD KORAMANGALA,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Circle,City/Town,Open area,Human Error,No,Grievous Injury,Hit bicyclist,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Sarjapura main road,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,T Junction,City/Town,Open area,Human Error,No,Grievous Injury,Hit pedestrian,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100  FEET RING ROAD KORAMANGALA,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,Yes,Fatal,Overturning,Not at  Junction,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,HOSUR LASKAR ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Not Applicable,City/Town,Near School or College,Human Error,No,Grievous Injury,Not Applicable,Uncontrolled,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Sarjapura main road,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Residential area,Human Error,Yes,Grievous Injury,Others,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,koramangala 4th block,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Residential area,Human Error,Yes,Damage Only,Others,Uncontrolled,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,7th block koramangala,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Head on,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,HOSUR LASKAR ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Circle,City/Town,Open area,Human Error,No,Grievous Injury,Others,Controlled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,80FT ROADKORAMANGALA,KORAMANGALA NGV,3KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Not Applicable,Not at  Junction,Hump,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,SARJAPURA MAIN ROAD,NEAR KUDURE MUKH COLONY,3KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,Open area,Human Error,No,Fatal,Rear end,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Pot holed,Fine,80feet road,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Residential area,Human Error,Not Applicable,Grievous Injury,Others,Uncontrolled,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,80FEET ROAD KORAMANGALA,NEAR GANESHA TEMPLE 5TH BLOCK,1KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Not Applicable,Circle,City/Town,Open area,Not Applicable,Yes,Grievous Injury,Head on,No signal lights,Hump,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,DAIRY PRIMIUS,DAIRY MAIN GATE,2KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Circle,City/Town,Near Hospital,Human Error,No,Damage Only,Others,Controlled,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,SARJAPURA MAIN ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Circle,City/Town,Near office complex,Human Error,No,Damage Only,Rear end,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100FEET INNER RING ROAD KORAMANGALA,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Not Applicable,Circle,City/Town,Near Bus stop,Human Error,Yes,Grievous Injury,Hit and Run,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,1,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Circle,City/Town,At pedestrian Crossing,Human Error,No,Simple Injury,Others,Controlled,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Clear,"JAIPURIA JUNCTION,KORAMANGALA 100FEETROAD",PANASONIC SHOWROOM,20 MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Cross roads,City/Town,Residential area,Human Error,No,Grievous Injury,Hit pedestrian,Not Applicable,Curve,City or Town Road,Bitumen(Tar),Ditch or Potholed,Not Applicable,Fine,7TH CROSS,MARAMMA TEMPLE HEBBAGILU,2KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Petrol Pump,Human Error,No,Damage Only,Others,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,80FEET ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Narrow road,City/Town,Near office complex,Human Error,No,Grievous Injury,Others,Not at  Junction,Not Applicable,City or Town Road,Bitumen(Tar),Others,Not Applicable,Clear,KORMANGALA 1ST BLOCK,WIPRO PARK,50MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Junction,City/Town,Near Bus stop,Human Error,No,Fatal,Hit pedestrian,Controlled,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Clear,"KORAMANGALA 100FEET ROAD,BDA JN",STJOHNAUDITORIUM,50MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Circle,City/Town,Residential area,Human Error,No,Damage Only,Hit parked vehicle,Uncontrolled,Curve,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Koramangla,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Junction,City/Town,Open area,Human Error,No,Grievous Injury,Others,Give way sign,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100  FEET RING ROAD KORAMANGALA,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Cross roads,City/Town,Residential area,Human Error,No,Damage Only,Head on,Not at  Junction,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Clear,KORAMANGALA 6THBLOCK,RESIDENCIAL,50 MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,T Junction,City/Town,Near Bus stop,Human Error,No,Fatal,Others,Not Applicable,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Sarjapura main road koramangala,1,1,0.1255262,77.37263
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Narrow road,City/Town,Near Bus stop,Human Error,No,Simple Injury,Others,Not at  Junction,Others,One way,Not Applicable,Others,Not Applicable,Clear,HOSUR LASKAR ROAD,OPP BOSCH COMPANY,1 KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Right Turn Collision,Not at  Junction,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,HOSUR LASKAR ROAD,NAINP,1KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,T Junction,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Rear end,Controlled,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Sarjapura main road,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Narrow road,City/Town,Near office complex,Human Error,No,Grievous Injury,Skidding or Self accident,Controlled,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Clear,100 FEET ROAD KORAMANGALA,ANJAPANAVARHOTEL,10MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,Near Petrol Pump,Human Error,No,Fatal,Hit pedestrian,Give way sign,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,KORAMANGALA 100FT IRR,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,Yes,Grievous Injury,Rear end,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Near BDA Complex, Koramangala",a,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,T Junction,City/Town,Near office complex,Human Error,No,Grievous Injury,Others,No signal lights,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100  FEET RING ROAD KORAMANGALA,1,4KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,Near Bus stop,Human Error,Yes,Not Applicable,Hit pedestrian,No signal lights,Hump,Mixed,Bitumen(Tar),Dry,No influence on accident,Clear,SARJAPURA MAIN ROAD,SARJAPURAMAIN ROAD,3KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Circle,City/Town,Open area,Not Applicable,No,Damage Only,Others,Not at  Junction,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,1,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,Not Applicable,Damage Only,Others,Not at  Junction,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100FEET INNER RING ROAD,CANARA BANK,3KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,At pedestrian Crossing,Human Error,No,Grievous Injury,Hit pedestrian,No signal lights,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,B G ROAD,KMF GATE,2KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Junction,City/Town,In bazaar,Human Error,Not Applicable,Damage Only,Head on,Uncontrolled,Others,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,11TH MAIN ROAD KML,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Not Applicable,City/Town,Open area,Human Error,No,Fatal,Others,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,BG ROAD,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,2,Road Accidents,Other,City/Town,Residential area,Human Error,Yes,Damage Only,Head on,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Koramangala St Bed Layout 1st Main Road, Near Maharaja Hotel, And SS Residency",a,1,12.56018,77.37851
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,Yes,Damage Only,Right Turn Collision,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Bannerughatta Main Road, Near Dairy Circle KMF Gate",a,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,4,Road Accidents,Other,City/Town,Residential area,Human Error,No,Damage Only,Rear end,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Lakkasandra 16th Cross Road, In Front Of Sri Chowdeswari Bhavana",a,1,12.942224,77.602416
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Rear end,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Sarjapura Main Road, Near St John Hospital Signal",A,1,12.929348,77.615997
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,Yes,Grievous Injury,Rear end,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Aishwarya Junction, Sarjapura Main Road, Venkatapura Koramangala 1st Block",a,10,12.55446,77.38026
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,2,Road Accidents,Other,City/Town,Near office complex,Human Error,Yes,Simple Injury,Right Turn Collision,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Near Swathi Maharaja Junction, In front Of HP Petrol Bunk Koramangala 80ft  Main Road,",Accident Spot,40,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,3,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Damage Only,Rear end,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Koramangala Inner Ring Road,  Near Kenara Bank Junction",a,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,2,Road Accidents,Other,City/Town,Near office complex,Human Error,Yes,Grievous Injury,Rear end,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Koramangala 100 ft Inner Ring Road Near Srinivagilu Junction, And Military Campos",a,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,2,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Right Turn Collision,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,Bannerughatta Main Road Near Chandrappa Nagara 1st Cross,A,1,12.941165,77.602436
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,2,Road Accidents,Other,City/Town,Near a religious place,Human Error,Yes,Grievous Injury,Hit and Run,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Near Matha Doddamma Temple, 19th Cross, Lakkasandra,",a,1,12.941168,77.602353
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2017,1,1,Road Accidents,Other,City/Town,Near Bus stop,Human Error,No,Grievous Injury,Hit pedestrian,Uncontrolled,Straight and flat,City or Town Road,Bitumen(Tar),Dry,No influence on accident,Fine,"Hosur Lashkar Main Road, In Front Of Aralimara Bus Stop, Adugodi",a,1,0.0,0.0
